;1;18-9-2011;10:20;ŠH Mladosť;L.M.H. Team;:;4Fun "A";2;:;18;(0:3);;;;;;;;;;;
;2;2-10-2011;11:30;ŠH Mladosť;4Fun "A";:;Kappa team;9;:;2;(1:1);;;;;;;;;;;
;3;9-10-2011;9:00;ŠH Mladosť;Maxima;:;4Fun "A";3;:;8;(1:3);;;;;;;;;;;
;4;22-10-2011;13:00;FTVŠ;4Fun "A";:;"Krátky proces "A"";10;:;4;(3:1);;;;;;;;;;;
;5;2-11-2011;21:10;ŠH Mladosť;4Fun "A";:;"AFC Horden "A"";9;:;2;(5:1);;;;;;;;;;;
;6;5-11-2011;16:15;ŠH Mladosť;Semic Bratislava;:;4Fun "A";4;:;10;;;;;;;;;;;;
;7;12-11-2011;9:15;FTVŠ;AK 47 A;:;4Fun "A";10;:;6;;;;;;;;;;;;
;8;4-12-2011;9:15;ŠH Mladosť;FCK Minimax A;:;4Fun "A";6;:;7;(5:0);;;;;;;;;;;
;9;10-12-2011;18:30;ŠH Mladosť;4Fun "A";:;4FSC Bratislava;8;:;6;(3:3);;;;;;;;;;;
;10;12-12-2011;20:40;ŠH Mladosť;4Fun "A";:;Matadors;8;:;6;;;;;;;;;;;;
;11;22-12-2011;18:00;ŠH Mladosť;Gurmáni;:;4Fun "A";9;:;1;(4:0);;;;;;;;;;;
;12;15-1-2012;11:30;ŠH Mladosť;4Fun "A";:;Wild Boys '02;2;:;5;(0:3);;;;;;;;;;;
;13;24-1-2012;18:30;ŠH Mladosť;KPP Barabéri;:;4Fun "A";10;:;2;;;;;;;;;;;;
;14;28-1-2012;19:20;ŠH Mladosť;4Fun "A";:;ŠK Danubit;4;:;7;(3:1);;;;;;;;;;;
;15;4-2-2012;15:10;ŠH Mladosť;Relax;:;4Fun "A";4;:;2;;;;;;;;;;;;
;16;24-2-2012;20:30;ŠH Mladosť;4Fun "A";:;1.SFC Canaria MA;1;:;15;(0:9);;;;;;;;;;;
;17;3-3-2012;17:40;ŠH Mladosť;Slovmatic FOFO "B";:;4Fun "A";11;:;3;;;;;;;;;;;;
;18;4-3-2012;16:40;ŠH Mladosť;TV Com Hurricanes;:;4Fun "A";4;:;4;(1:3);;;;;;;;;;;
;19;10-3-2012;9:20;ŠH Mladosť;4Fun "A";:;Across Pinerola BA "B";0;:;6;;;;;;;;;;;;
;20;24-3-2012;9:10;ŠH Mladosť;4Fun "A";:;L.M.H. Team;11;:;3;;;;;;;;;;;;
;21;31-3-2012;11:45;ŠH Mladosť;"AFC Horden "A"";:;4Fun "A";8;:;5;;;;;;;;;;;;
;22;14-4-2012;14:00;ŠH Mladosť;4Fun "A";:;Relax;5;:;12;;;;;;;;;;;;
;23;22-4-2012;9:10;ŠH Mladosť;4Fun "A";:;Maxima;4;:;8;;;;;;;;;;;;
;24;27-4-2012;19:30;ŠH Mladosť;4Fun "A";:;Kappa Team;8;:;5;;;;;;;;;;;;
;25;5-5-2012;9:00;FTVŠ;"Krátky proces "A"";:;4Fun "A";9;:;3;;;;;;;;;;;;
;26;12-5-2012;14:00;FTVŠ;4Fun "A";:;Matadors;2;:;2;;;;;;;;;;;;
;27;26-5-2012;12:30;ŠH Mladosť;4Fun "A";:;ŠK Danubit;4;:;8;(0:4);;;;;;;;;;;
;28;26-5-2012;14:50;ŠH Mladosť;TV Com Hurricanes;:;4Fun "A";16;:;7;(2:5);;;;;;;;;;;